City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
432,francistown,-21.17,27.5079,296.99,74,88,2.73,BW,1676823800
433,nagua,19.3832,-69.8474,301.32,73,40,6.17,DO,1676823801
434,vanimo,-2.6741,141.3028,297.94,90,73,2.87,PG,1676823801
435,sungaipenuh,-2.0833,101.3833,291.41,98,100,0.5,ID,1676823802
436,bangassou,4.7413,22.8184,308.19,14,96,1.86,CF,1676823803
437,tsumeb,-19.2333,17.7167,303.42,13,99,7.07,NA,1676823804
438,niquero,20.0431,-77.5828,300.72,52,0,1.64,CU,1676823805
439,tongchuan,35.0806,109.0897,275.56,44,81,1.5,CN,1676823805
440,norrtalje,59.758,18.705,274.27,57,12,5.55,SE,1676823806
441,kashan,33.9831,51.4364,285.92,19,0,0.0,IR,1676823806
442,grafton,42.207,-71.6856,280.29,49,0,4.12,US,1676823807
443,narasannapeta,18.4167,84.05,296.2,80,0,1.78,IN,1676823807
444,alihe,50.5667,123.7167,251.42,97,76,1.85,CN,1676823807
445,celestun,20.8667,-90.4,299.31,68,16,5.08,MX,1676823808
446,guthrie,35.8789,-97.4253,286.23,42,0,5.14,US,1676823808
447,suzhou,31.3114,120.6181,277.08,62,43,2.82,CN,1676823809
448,pemberton,50.3164,-122.8027,276.98,94,100,1.78,CA,1676823809
449,shimoda,34.6667,138.95,282.65,70,86,8.1,JP,1676823810
450,korsakov,46.6328,142.7813,264.06,92,100,6.93,RU,1676823810
451,luoyang,34.6836,112.4536,279.61,32,81,1.58,CN,1676823811
452,lenger,42.183,69.8839,274.84,66,100,3.0,KZ,1676823811
453,yar-sale,66.8333,70.8333,249.78,100,60,2.24,RU,1676823812
454,tongliao,43.6125,122.2653,264.43,44,12,7.8,CN,1676823812
455,hibbing,47.4272,-92.9377,270.93,63,100,8.23,US,1676823813
456,brae,60.3964,-1.353,281.0,94,100,10.71,GB,1676823813
457,kununurra,-15.7667,128.7333,301.14,89,100,2.57,AU,1676823814
458,broome,42.2506,-75.833,278.54,52,100,3.6,US,1676823814
459,mount isa,-20.7333,139.5,295.02,94,94,0.0,AU,1676823815
460,san juan de los lagos,21.25,-102.3,291.51,28,0,2.14,MX,1676823815
461,giyon,8.5333,37.9833,293.19,15,60,6.43,ET,1676823816
462,boyolangu,-8.1181,111.8935,297.36,90,76,1.29,ID,1676823817
463,najran,17.4924,44.1277,292.51,25,0,4.8,SA,1676823648
464,saskylakh,71.9167,114.0833,255.88,92,100,3.8,RU,1676823817
465,ferrol,43.4832,-8.2369,291.12,72,92,6.62,ES,1676823818
466,kuah,6.3265,99.8432,301.14,69,20,2.57,MY,1676823818
467,namibe,-15.1961,12.1522,296.2,62,100,6.06,AO,1676823818
468,tripoli,32.8752,13.1875,288.76,56,0,2.66,LY,1676823545
469,labuhan,-6.8844,112.2051,298.92,85,76,3.8,ID,1676823819
470,kyabe,9.4515,18.9449,309.48,9,13,3.26,TD,1676823819
471,sorong,-0.8833,131.25,299.96,83,100,6.38,ID,1676823819
472,tumsar,21.3833,79.7333,297.1,23,5,1.56,IN,1676823820
473,tautira,-17.7333,-149.15,300.06,75,70,3.27,PF,1676823820
474,samarai,-10.6167,150.6667,300.93,76,96,3.36,PG,1676823820
475,viransehir,37.2353,39.7631,281.14,60,96,1.55,TR,1676823821
476,san antonio,29.4241,-98.4936,289.88,75,20,4.63,US,1676823821
477,aden,12.7794,45.0367,298.54,70,7,4.1,YE,1676823783
478,cayenne,4.9333,-52.3333,301.17,69,100,4.12,GF,1676823822
479,dauphin,51.1494,-100.0502,254.23,71,100,1.03,CA,1676823822
480,nyurba,63.2842,118.3319,245.92,100,66,2.36,RU,1676823823
481,mogadishu,2.0371,45.3438,298.59,76,99,9.61,SO,1676823823
482,vicksburg,32.3526,-90.8779,286.28,44,0,3.6,US,1676823824
483,bukachacha,52.9833,116.9167,249.56,95,4,2.0,RU,1676823824
484,batagay,67.6333,134.6333,231.38,100,49,1.4,RU,1676823825
485,arinos,-15.9169,-46.1056,305.66,37,98,3.22,BR,1676823825
486,mapimi,25.8167,-103.85,288.45,27,43,1.61,MX,1676823826
487,verkhneyarkeyevo,55.4505,54.3145,254.89,100,84,2.69,RU,1676823826
488,samut prakan,13.5,100.45,304.29,52,63,0.97,TH,1676823826
489,panlaitan,12.1191,119.8486,299.44,78,97,6.61,PH,1676823827
490,asau,46.4333,26.4,282.75,85,100,5.41,RO,1676823827
491,kisangani,0.5167,25.2,304.98,28,99,0.36,CD,1676823828
492,redcar,54.6166,-1.06,282.89,63,96,4.92,GB,1676823828
493,aswan,24.0934,32.907,299.76,24,0,4.63,EG,1676823828
494,saint-pierre,-21.3393,55.4781,300.88,83,100,9.26,RE,1676823829
495,bafq,31.6128,55.4107,287.31,26,1,2.88,IR,1676823829
496,zhangjiakou,40.81,114.8794,263.53,79,1,2.59,CN,1676823829
497,chicama,-7.8447,-79.1469,298.45,57,90,3.92,PE,1676823830
498,emba,48.8264,58.1442,272.58,97,100,9.11,KZ,1676823830
499,saint-francois,46.4154,3.9054,282.84,77,100,3.6,FR,1676823737
500,malinovoye ozero,51.6753,79.7825,255.24,100,87,1.32,RU,1676823830
501,barra patuca,15.8,-84.2833,300.1,69,19,5.38,HN,1676823831
502,tambura,5.6,27.4667,306.37,17,92,3.1,SS,1676823831
503,broken hill,-31.95,141.4333,297.58,21,0,4.3,AU,1676823831
504,birjand,32.8663,59.2211,279.41,36,0,0.0,IR,1676823832
505,bonavista,48.6499,-53.1147,269.75,74,45,8.02,CA,1676823832
506,kirakira,-10.4544,161.9205,299.12,82,100,0.51,SB,1676823832
507,upata,8.0086,-62.3989,301.03,34,5,2.98,VE,1676823813
508,yangjiang,21.85,111.9667,293.89,63,99,4.83,CN,1676823795
509,puerto colombia,10.9878,-74.9547,302.2,68,0,9.42,CO,1676823833
510,kalmunai,7.4167,81.8167,298.32,86,36,3.8,LK,1676823833
511,launceston,-41.45,147.1667,289.15,80,71,5.14,AU,1676823834
512,peace river,56.2501,-117.286,261.32,96,100,2.57,CA,1676823834
513,sarab,38.6066,44.9883,276.08,56,67,1.59,IR,1676823834
514,panaba,21.2833,-88.2667,301.24,51,24,5.45,MX,1676823835
515,kruisfontein,-34.0033,24.7314,299.75,70,44,3.45,ZA,1676823835
516,nevel,56.0209,29.9284,271.23,96,93,5.38,RU,1676823835
517,zolotkovo,55.5281,41.1053,266.59,95,100,4.81,RU,1676823836
518,honningsvag,70.9821,25.9704,274.01,93,100,11.83,NO,1676823836
519,saravan,39.7196,45.6483,268.07,85,99,1.57,AM,1676823836
